health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
Three Rivers,1343,20,94,2020-09-05 00:00:00
Virginia Beach,6183,71,327,2020-09-05 00:00:00
Western Tidewater,3026,94,163,2020-09-05 00:00:00
West Piedmont,1730,36,205,2020-09-05 00:00:00
Alexandria,3500,62,302,2020-09-06 00:00:00
Alleghany,1255,23,65,2020-09-06 00:00:00
Arlington,3632,143,476,2020-09-06 00:00:00
Central Shenandoah,3870,63,244,2020-09-06 00:00:00
Central Virginia,2548,19,84,2020-09-06 00:00:00
Chesapeake,3932,50,344,2020-09-06 00:00:00
Chesterfield,5685,110,311,2020-09-06 00:00:00
Chickahominy,1319,48,144,2020-09-06 00:00:00
Crater,3360,80,254,2020-09-06 00:00:00
Cumberland Plateau,575,9,49,2020-09-06 00:00:00
Eastern Shore,1457,48,136,2020-09-06 00:00:00
Fairfax,19174,576,2110,2020-09-06 00:00:00
Hampton,1628,16,57,2020-09-06 00:00:00
Henrico,4795,194,390,2020-09-06 00:00:00
Lenowisco,783,13,69,2020-09-06 00:00:00
Lord Fairfax,2862,98,253,2020-09-06 00:00:00
Loudoun,6198,118,394,2020-09-06 00:00:00
Mount Rogers,2210,75,194,2020-09-06 00:00:00
New River,1925,9,38,2020-09-06 00:00:00
Norfolk,4484,60,308,2020-09-06 00:00:00
Peninsula,3958,58,181,2020-09-06 00:00:00
Piedmont,1752,40,127,2020-09-06 00:00:00
Pittsylvania-Danville,1530,21,106,2020-09-06 00:00:00
Portsmouth,2283,43,194,2020-09-06 00:00:00
Prince William,13630,219,1051,2020-09-06 00:00:00
Rappahannock,4640,65,364,2020-09-06 00:00:00
Rappahannock Rapidan,2358,37,160,2020-09-06 00:00:00
Richmond,4135,49,387,2020-09-06 00:00:00
Roanoke,1267,15,52,2020-09-06 00:00:00
Southside,1140,39,73,2020-09-06 00:00:00
Thomas Jefferson,2664,57,171,2020-09-06 00:00:00
Three Rivers,1360,20,94,2020-09-06 00:00:00
Virginia Beach,6223,71,328,2020-09-06 00:00:00
Western Tidewater,3050,94,166,2020-09-06 00:00:00
West Piedmont,1744,36,205,2020-09-06 00:00:00
Alexandria,3511,62,302,2020-09-07 00:00:00
Alleghany,1281,23,65,2020-09-07 00:00:00
Arlington,3640,143,476,2020-09-07 00:00:00
Central Shenandoah,3941,63,245,2020-09-07 00:00:00
Central Virginia,2568,19,86,2020-09-07 00:00:00
Chesapeake,3946,50,346,2020-09-07 00:00:00
Chesterfield,5690,110,311,2020-09-07 00:00:00
Chickahominy,1332,48,144,2020-09-07 00:00:00
Crater,3368,80,254,2020-09-07 00:00:00
Cumberland Plateau,578,9,49,2020-09-07 00:00:00
Eastern Shore,1457,48,136,2020-09-07 00:00:00
Fairfax,19246,576,2111,2020-09-07 00:00:00
Hampton,1629,16,57,2020-09-07 00:00:00
Henrico,4806,194,390,2020-09-07 00:00:00
Lenowisco,790,13,69,2020-09-07 00:00:00
Lord Fairfax,2872,98,254,2020-09-07 00:00:00
Loudoun,6223,118,395,2020-09-07 00:00:00
Mount Rogers,2266,75,196,2020-09-07 00:00:00
New River,1949,9,38,2020-09-07 00:00:00
Norfolk,4533,60,308,2020-09-07 00:00:00
Peninsula,3973,59,183,2020-09-07 00:00:00
Piedmont,1762,40,127,2020-09-07 00:00:00
Pittsylvania-Danville,1538,23,108,2020-09-07 00:00:00
Portsmouth,2286,43,194,2020-09-07 00:00:00
Prince William,13672,219,1053,2020-09-07 00:00:00
Rappahannock,4658,65,364,2020-09-07 00:00:00
Rappahannock Rapidan,2370,40,160,2020-09-07 00:00:00
Richmond,4153,49,389,2020-09-07 00:00:00
Roanoke,1305,15,52,2020-09-07 00:00:00
Southside,1142,39,74,2020-09-07 00:00:00
Thomas Jefferson,2675,57,172,2020-09-07 00:00:00
Three Rivers,1365,20,94,2020-09-07 00:00:00
Virginia Beach,6226,71,328,2020-09-07 00:00:00
Western Tidewater,3067,94,167,2020-09-07 00:00:00
West Piedmont,1753,36,205,2020-09-07 00:00:00
Alexandria,3527,62,302,2020-09-08 00:00:00
Alleghany,1283,23,66,2020-09-08 00:00:00
Arlington,3656,143,478,2020-09-08 00:00:00
Central Shenandoah,4121,63,246,2020-09-08 00:00:00
Central Virginia,2571,19,88,2020-09-08 00:00:00
Chesapeake,3962,50,348,2020-09-08 00:00:00
Chesterfield,5735,110,313,2020-09-08 00:00:00
Chickahominy,1349,48,146,2020-09-08 00:00:00
Crater,3383,80,254,2020-09-08 00:00:00
Cumberland Plateau,587,9,49,2020-09-08 00:00:00
Eastern Shore,1458,48,136,2020-09-08 00:00:00
Fairfax,19326,577,2114,2020-09-08 00:00:00
Hampton,1651,16,57,2020-09-08 00:00:00
Henrico,4844,194,390,2020-09-08 00:00:00
Lenowisco,794,13,70,2020-09-08 00:00:00
Lord Fairfax,2883,98,254,2020-09-08 00:00:00
Loudoun,6263,118,396,2020-09-08 00:00:00
Mount Rogers,2292,76,198,2020-09-08 00:00:00
New River,1982,9,38,2020-09-08 00:00:00
Norfolk,4537,60,310,2020-09-08 00:00:00
Peninsula,3996,59,183,2020-09-08 00:00:00
Piedmont,1778,40,127,2020-09-08 00:00:00
Pittsylvania-Danville,1555,23,108,2020-09-08 00:00:00
Portsmouth,2309,43,195,2020-09-08 00:00:00
Prince William,13722,219,1054,2020-09-08 00:00:00
Rappahannock,4683,65,366,2020-09-08 00:00:00
Rappahannock Rapidan,2381,40,160,2020-09-08 00:00:00
Richmond,4176,49,390,2020-09-08 00:00:00
Roanoke,1306,15,52,2020-09-08 00:00:00
Southside,1161,39,74,2020-09-08 00:00:00
Thomas Jefferson,2688,57,174,2020-09-08 00:00:00
Three Rivers,1375,20,94,2020-09-08 00:00:00
Virginia Beach,6227,71,328,2020-09-08 00:00:00
Western Tidewater,3089,94,168,2020-09-08 00:00:00
West Piedmont,1757,36,206,2020-09-08 00:00:00
Alexandria,3546,62,302,2020-09-09 00:00:00
Alleghany,1290,23,66,2020-09-09 00:00:00
Arlington,3679,143,480,2020-09-09 00:00:00
Central Shenandoah,4205,64,246,2020-09-09 00:00:00
Central Virginia,2606,19,89,2020-09-09 00:00:00
Chesapeake,3982,50,349,2020-09-09 00:00:00
Chesterfield,5777,113,319,2020-09-09 00:00:00
Chickahominy,1363,48,146,2020-09-09 00:00:00
Crater,3441,80,256,2020-09-09 00:00:00
Cumberland Plateau,593,9,49,2020-09-09 00:00:00
Eastern Shore,1459,48,137,2020-09-09 00:00:00
Fairfax,19369,580,2120,2020-09-09 00:00:00
Hampton,1661,16,57,2020-09-09 00:00:00
Henrico,4872,195,392,2020-09-09 00:00:00
Lenowisco,798,13,70,2020-09-09 00:00:00
Lord Fairfax,2885,98,257,2020-09-09 00:00:00
Loudoun,6273,118,399,2020-09-09 00:00:00
Mount Rogers,2304,76,199,2020-09-09 00:00:00
New River,2058,9,39,2020-09-09 00:00:00
Norfolk,4545,60,312,2020-09-09 00:00:00
Peninsula,4006,59,183,2020-09-09 00:00:00
Piedmont,1786,40,127,2020-09-09 00:00:00
Pittsylvania-Danville,1567,23,109,2020-09-09 00:00:00
Portsmouth,2324,43,217,2020-09-09 00:00:00
Prince William,13793,219,1057,2020-09-09 00:00:00
Rappahannock,4733,65,368,2020-09-09 00:00:00
Rappahannock Rapidan,2398,42,162,2020-09-09 00:00:00
Richmond,4198,49,393,2020-09-09 00:00:00
Roanoke,1312,15,53,2020-09-09 00:00:00
Southside,1184,39,74,2020-09-09 00:00:00
Thomas Jefferson,2715,58,174,2020-09-09 00:00:00
Three Rivers,1384,20,95,2020-09-09 00:00:00
Virginia Beach,6305,71,335,2020-09-09 00:00:00
Western Tidewater,3111,94,168,2020-09-09 00:00:00
West Piedmont,1767,36,209,2020-09-09 00:00:00
Alexandria,3558,62,303,2020-09-10 00:00:00
Alleghany,1312,23,67,2020-09-10 00:00:00
Arlington,3687,144,481,2020-09-10 00:00:00
Central Shenandoah,4292,64,247,2020-09-10 00:00:00
Central Virginia,2633,19,91,2020-09-10 00:00:00
Chesapeake,4007,50,352,2020-09-10 00:00:00
Chesterfield,5834,113,321,2020-09-10 00:00:00
Chickahominy,1495,48,147,2020-09-10 00:00:00
Crater,3472,80,259,2020-09-10 00:00:00
Cumberland Plateau,606,9,49,2020-09-10 00:00:00
Eastern Shore,1460,48,137,2020-09-10 00:00:00
Fairfax,19474,580,2123,2020-09-10 00:00:00
Hampton,1687,16,57,2020-09-10 00:00:00
Henrico,4925,195,395,2020-09-10 00:00:00
Lenowisco,810,13,70,2020-09-10 00:00:00
Lord Fairfax,2894,98,256,2020-09-10 00:00:00
Loudoun,6327,118,402,2020-09-10 00:00:00
Mount Rogers,2325,77,200,2020-09-10 00:00:00
New River,2147,10,43,2020-09-10 00:00:00
Norfolk,4577,60,319,2020-09-10 00:00:00
Peninsula,4041,59,183,2020-09-10 00:00:00
Piedmont,1799,40,128,2020-09-10 00:00:00
Pittsylvania-Danville,1590,23,109,2020-09-10 00:00:00
Portsmouth,2337,45,236,2020-09-10 00:00:00
Prince William,13869,223,1061,2020-09-10 00:00:00
Rappahannock,4778,65,370,2020-09-10 00:00:00
Rappahannock Rapidan,2408,43,163,2020-09-10 00:00:00
Richmond,4220,50,394,2020-09-10 00:00:00
Roanoke,1329,15,54,2020-09-10 00:00:00
Southside,1196,39,74,2020-09-10 00:00:00
Thomas Jefferson,2743,58,175,2020-09-10 00:00:00
Three Rivers,1404,20,96,2020-09-10 00:00:00
Virginia Beach,6345,71,335,2020-09-10 00:00:00
Western Tidewater,3151,94,168,2020-09-10 00:00:00
West Piedmont,1793,36,220,2020-09-10 00:00:00
Alexandria,3577,62,304,2020-09-11 00:00:00
Alleghany,1331,23,67,2020-09-11 00:00:00
Arlington,3700,144,481,2020-09-11 00:00:00
Central Shenandoah,4373,65,249,2020-09-11 00:00:00
Central Virginia,2686,19,92,2020-09-11 00:00:00
Chesapeake,4026,49,357,2020-09-11 00:00:00
Chesterfield,5886,113,325,2020-09-11 00:00:00
Chickahominy,1530,49,149,2020-09-11 00:00:00
Crater,3480,80,260,2020-09-11 00:00:00
Cumberland Plateau,617,9,49,2020-09-11 00:00:00
Eastern Shore,1462,48,137,2020-09-11 00:00:00
Fairfax,19553,581,2124,2020-09-11 00:00:00
Hampton,1690,16,57,2020-09-11 00:00:00
Henrico,4966,195,397,2020-09-11 00:00:00
Lenowisco,821,13,70,2020-09-11 00:00:00
Lord Fairfax,2905,98,257,2020-09-11 00:00:00
Loudoun,6377,118,408,2020-09-11 00:00:00
Mount Rogers,2350,77,203,2020-09-11 00:00:00
New River,2239,10,44,2020-09-11 00:00:00
Norfolk,4612,61,327,2020-09-11 00:00:00
Peninsula,4048,59,183,2020-09-11 00:00:00
Piedmont,1824,40,129,2020-09-11 00:00:00
Pittsylvania-Danville,1607,23,113,2020-09-11 00:00:00
Portsmouth,2343,45,249,2020-09-11 00:00:00
Prince William,13967,223,1061,2020-09-11 00:00:00
Rappahannock,4822,65,371,2020-09-11 00:00:00
Rappahannock Rapidan,2423,43,165,2020-09-11 00:00:00
Richmond,4259,50,395,2020-09-11 00:00:00
Roanoke,1359,15,55,2020-09-11 00:00:00
Southside,1219,39,75,2020-09-11 00:00:00
Thomas Jefferson,2796,58,176,2020-09-11 00:00:00
Three Rivers,1436,20,99,2020-09-11 00:00:00
Virginia Beach,6368,71,336,2020-09-11 00:00:00
Western Tidewater,3175,94,169,2020-09-11 00:00:00
West Piedmont,1813,36,222,2020-09-11 00:00:00
Alexandria,3594,62,305,2020-09-12 00:00:00
Alleghany,1343,23,67,2020-09-12 00:00:00
Arlington,3710,145,481,2020-09-12 00:00:00
Central Shenandoah,4485,65,250,2020-09-12 00:00:00
Central Virginia,2732,19,93,2020-09-12 00:00:00
Chesapeake,4048,49,364,2020-09-12 00:00:00
Chesterfield,5941,113,329,2020-09-12 00:00:00
Chickahominy,1550,49,150,2020-09-12 00:00:00
Crater,3514,80,261,2020-09-12 00:00:00
Cumberland Plateau,627,9,49,2020-09-12 00:00:00
Eastern Shore,1462,48,137,2020-09-12 00:00:00
Fairfax,19688,582,2131,2020-09-12 00:00:00
Hampton,1706,17,58,2020-09-12 00:00:00
Henrico,5000,195,396,2020-09-12 00:00:00
Lenowisco,827,15,70,2020-09-12 00:00:00
Lord Fairfax,2920,98,257,2020-09-12 00:00:00
Loudoun,6409,118,410,2020-09-12 00:00:00
Mount Rogers,2391,79,206,2020-09-12 00:00:00
New River,2412,10,49,2020-09-12 00:00:00
Norfolk,4630,61,333,2020-09-12 00:00:00
Peninsula,4078,59,183,2020-09-12 00:00:00
Piedmont,1838,40,129,2020-09-12 00:00:00
Pittsylvania-Danville,1630,23,118,2020-09-12 00:00:00
Portsmouth,2373,45,255,2020-09-12 00:00:00
Prince William,14054,223,1063,2020-09-12 00:00:00
Rappahannock,4876,65,373,2020-09-12 00:00:00
Rappahannock Rapidan,2442,43,165,2020-09-12 00:00:00
Richmond,4291,50,396,2020-09-12 00:00:00
Roanoke,1365,15,56,2020-09-12 00:00:00
Southside,1232,39,76,2020-09-12 00:00:00
Thomas Jefferson,2842,58,177,2020-09-12 00:00:00
Three Rivers,1463,22,100,2020-09-12 00:00:00
Virginia Beach,6421,72,337,2020-09-12 00:00:00
Western Tidewater,3218,95,170,2020-09-12 00:00:00
West Piedmont,1828,36,224,2020-09-12 00:00:00
Alexandria,3602,62,305,2020-09-13 00:00:00
Alleghany,1355,23,69,2020-09-13 00:00:00
Arlington,3727,145,484,2020-09-13 00:00:00
Central Shenandoah,4503,65,250,2020-09-13 00:00:00
Central Virginia,2759,19,93,2020-09-13 00:00:00
Chesapeake,4067,49,365,2020-09-13 00:00:00
Chesterfield,5983,113,330,2020-09-13 00:00:00
Chickahominy,1580,49,150,2020-09-13 00:00:00
Crater,3514,80,261,2020-09-13 00:00:00
Cumberland Plateau,635,9,49,2020-09-13 00:00:00
Eastern Shore,1463,48,137,2020-09-13 00:00:00
Fairfax,19796,582,2135,2020-09-13 00:00:00
Hampton,1714,17,58,2020-09-13 00:00:00
Henrico,5037,195,396,2020-09-13 00:00:00
Lenowisco,832,15,70,2020-09-13 00:00:00
Lord Fairfax,2931,98,257,2020-09-13 00:00:00
Loudoun,6443,118,410,2020-09-13 00:00:00
Mount Rogers,2447,81,212,2020-09-13 00:00:00
New River,2479,10,49,2020-09-13 00:00:00
Norfolk,4647,61,333,2020-09-13 00:00:00
Peninsula,4112,59,183,2020-09-13 00:00:00
Piedmont,1839,40,129,2020-09-13 00:00:00
Pittsylvania-Danville,1651,23,119,2020-09-13 00:00:00
Portsmouth,2391,45,255,2020-09-13 00:00:00
Prince William,14120,223,1067,2020-09-13 00:00:00
Rappahannock,4907,65,374,2020-09-13 00:00:00
Rappahannock Rapidan,2459,43,165,2020-09-13 00:00:00
Richmond,4317,50,396,2020-09-13 00:00:00
Roanoke,1373,15,57,2020-09-13 00:00:00
Southside,1254,39,76,2020-09-13 00:00:00
Thomas Jefferson,2859,58,178,2020-09-13 00:00:00
Three Rivers,1476,22,100,2020-09-13 00:00:00
Virginia Beach,6453,72,337,2020-09-13 00:00:00
Western Tidewater,3261,95,171,2020-09-13 00:00:00
West Piedmont,1828,36,224,2020-09-13 00:00:00
Alexandria,3613,62,305,2020-09-14 00:00:00
Alleghany,1370,23,69,2020-09-14 00:00:00
Arlington,3741,145,487,2020-09-14 00:00:00
Central Shenandoah,4568,65,251,2020-09-14 00:00:00
Central Virginia,2778,22,93,2020-09-14 00:00:00
Chesapeake,4086,49,372,2020-09-14 00:00:00
Chesterfield,6001,114,330,2020-09-14 00:00:00
Chickahominy,1617,49,150,2020-09-14 00:00:00
Crater,3539,80,263,2020-09-14 00:00:00
Cumberland Plateau,635,9,49,2020-09-14 00:00:00
Eastern Shore,1465,48,137,2020-09-14 00:00:00
Fairfax,19854,582,2140,2020-09-14 00:00:00
Hampton,1723,17,58,2020-09-14 00:00:00
Henrico,5068,198,396,2020-09-14 00:00:00
Lenowisco,835,15,70,2020-09-14 00:00:00
Lord Fairfax,2939,99,261,2020-09-14 00:00:00
Loudoun,6449,118,411,2020-09-14 00:00:00
Mount Rogers,2463,82,213,2020-09-14 00:00:00
New River,2591,10,49,2020-09-14 00:00:00
Norfolk,4651,61,333,2020-09-14 00:00:00
Peninsula,4130,59,183,2020-09-14 00:00:00
Piedmont,1841,40,129,2020-09-14 00:00:00
Pittsylvania-Danville,1662,27,123,2020-09-14 00:00:00
Portsmouth,2391,45,255,2020-09-14 00:00:00
Prince William,14147,223,1067,2020-09-14 00:00:00
Rappahannock,4922,65,374,2020-09-14 00:00:00
Rappahannock Rapidan,2471,43,165,2020-09-14 00:00:00
Richmond,4336,50,399,2020-09-14 00:00:00
Roanoke,1391,15,57,2020-09-14 00:00:00
Southside,1259,39,76,2020-09-14 00:00:00
Thomas Jefferson,2880,58,180,2020-09-14 00:00:00
Three Rivers,1495,23,102,2020-09-14 00:00:00
Virginia Beach,6482,72,342,2020-09-14 00:00:00
Western Tidewater,3336,98,180,2020-09-14 00:00:00
West Piedmont,1842,38,224,2020-09-14 00:00:00
Alexandria,3615,65,305,2020-09-15 00:00:00
Alleghany,1375,23,70,2020-09-15 00:00:00
Arlington,3759,145,487,2020-09-15 00:00:00
Central Shenandoah,4693,68,253,2020-09-15 00:00:00
Central Virginia,2803,25,97,2020-09-15 00:00:00
Chesapeake,4096,53,373,2020-09-15 00:00:00
Chesterfield,6040,115,333,2020-09-15 00:00:00
Chickahominy,1684,49,152,2020-09-15 00:00:00
Crater,3556,88,263,2020-09-15 00:00:00
Cumberland Plateau,640,9,50,2020-09-15 00:00:00
Eastern Shore,1465,48,137,2020-09-15 00:00:00
Fairfax,19930,583,2135,2020-09-15 00:00:00
Hampton,1730,19,58,2020-09-15 00:00:00
Henrico,5079,203,398,2020-09-15 00:00:00
Lenowisco,839,17,71,2020-09-15 00:00:00
Lord Fairfax,2954,104,261,2020-09-15 00:00:00
Loudoun,6489,119,414,2020-09-15 00:00:00
Mount Rogers,2492,87,213,2020-09-15 00:00:00
New River,2643,11,50,2020-09-15 00:00:00
Norfolk,4676,66,337,2020-09-15 00:00:00
Peninsula,4144,65,183,2020-09-15 00:00:00
Piedmont,1870,41,129,2020-09-15 00:00:00
Pittsylvania-Danville,1681,27,125,2020-09-15 00:00:00
Portsmouth,2424,46,258,2020-09-15 00:00:00
Prince William,14231,225,1071,2020-09-15 00:00:00
Rappahannock,4942,69,375,2020-09-15 00:00:00
Rappahannock Rapidan,2483,46,168,2020-09-15 00:00:00
Richmond,4363,55,401,2020-09-15 00:00:00
Roanoke,1394,15,57,2020-09-15 00:00:00
Southside,1264,40,77,2020-09-15 00:00:00
Thomas Jefferson,2883,61,180,2020-09-15 00:00:00
Three Rivers,1515,27,102,2020-09-15 00:00:00
Virginia Beach,6523,74,349,2020-09-15 00:00:00
Western Tidewater,3375,103,180,2020-09-15 00:00:00
West Piedmont,1864,48,225,2020-09-15 00:00:00
Alexandria,3628,66,305,2020-09-16 00:00:00
Alleghany,1392,23,70,2020-09-16 00:00:00
Arlington,3779,146,488,2020-09-16 00:00:00
Central Shenandoah,4746,69,255,2020-09-16 00:00:00
Central Virginia,2827,28,101,2020-09-16 00:00:00
Chesapeake,4119,55,379,2020-09-16 00:00:00
Chesterfield,6077,118,336,2020-09-16 00:00:00
Chickahominy,1693,49,155,2020-09-16 00:00:00
Crater,3569,93,263,2020-09-16 00:00:00
Cumberland Plateau,651,9,51,2020-09-16 00:00:00
Eastern Shore,1465,49,137,2020-09-16 00:00:00
Fairfax,20035,585,2142,2020-09-16 00:00:00
Hampton,1736,20,58,2020-09-16 00:00:00
Henrico,5120,205,403,2020-09-16 00:00:00
Lenowisco,843,17,71,2020-09-16 00:00:00
Lord Fairfax,2962,106,262,2020-09-16 00:00:00
Loudoun,6523,119,417,2020-09-16 00:00:00
Mount Rogers,2502,89,216,2020-09-16 00:00:00
New River,2700,12,50,2020-09-16 00:00:00
Norfolk,4685,66,338,2020-09-16 00:00:00
Peninsula,4182,65,183,2020-09-16 00:00:00
Piedmont,1876,42,129,2020-09-16 00:00:00
Pittsylvania-Danville,1704,29,125,2020-09-16 00:00:00
Portsmouth,2427,47,262,2020-09-16 00:00:00
Prince William,14277,228,1073,2020-09-16 00:00:00
Rappahannock,4966,70,376,2020-09-16 00:00:00
Rappahannock Rapidan,2501,46,168,2020-09-16 00:00:00
Richmond,4384,55,403,2020-09-16 00:00:00
Roanoke,1413,15,57,2020-09-16 00:00:00
Southside,1282,40,77,2020-09-16 00:00:00
Thomas Jefferson,2943,62,180,2020-09-16 00:00:00
Three Rivers,1541,27,103,2020-09-16 00:00:00
Virginia Beach,6515,76,349,2020-09-16 00:00:00
Western Tidewater,3413,104,180,2020-09-16 00:00:00
West Piedmont,1883,54,227,2020-09-16 00:00:00
Alexandria,3649,66,306,2020-09-17 00:00:00
Alleghany,1415,24,71,2020-09-17 00:00:00
Arlington,3791,146,491,2020-09-17 00:00:00
Central Shenandoah,4829,70,256,2020-09-17 00:00:00
Central Virginia,2867,30,102,2020-09-17 00:00:00
Chesapeake,4141,58,381,2020-09-17 00:00:00
Chesterfield,6106,120,339,2020-09-17 00:00:00
Chickahominy,1707,49,156,2020-09-17 00:00:00
Crater,3607,95,268,2020-09-17 00:00:00
Cumberland Plateau,660,9,51,2020-09-17 00:00:00
Eastern Shore,1467,49,137,2020-09-17 00:00:00
Fairfax,20121,586,2147,2020-09-17 00:00:00
Hampton,1748,20,58,2020-09-17 00:00:00
Henrico,5155,205,406,2020-09-17 00:00:00
Lenowisco,849,17,72,2020-09-17 00:00:00
Lord Fairfax,2979,106,262,2020-09-17 00:00:00
Loudoun,6567,120,420,2020-09-17 00:00:00
Mount Rogers,2518,92,219,2020-09-17 00:00:00
New River,2740,12,50,2020-09-17 00:00:00
Norfolk,4707,67,342,2020-09-17 00:00:00
Peninsula,4201,65,183,2020-09-17 00:00:00
Piedmont,1894,43,129,2020-09-17 00:00:00
Pittsylvania-Danville,1724,30,125,2020-09-17 00:00:00
Portsmouth,2439,48,266,2020-09-17 00:00:00
Prince William,14356,228,1076,2020-09-17 00:00:00
Rappahannock,5016,69,378,2020-09-17 00:00:00
Rappahannock Rapidan,2521,46,169,2020-09-17 00:00:00
Richmond,4407,56,403,2020-09-17 00:00:00
Roanoke,1447,16,61,2020-09-17 00:00:00
Southside,1306,40,79,2020-09-17 00:00:00
Thomas Jefferson,3027,63,181,2020-09-17 00:00:00
Three Rivers,1572,28,106,2020-09-17 00:00:00
Virginia Beach,6553,78,349,2020-09-17 00:00:00
Western Tidewater,3465,113,195,2020-09-17 00:00:00
West Piedmont,1909,56,230,2020-09-17 00:00:00
Alexandria,3671,67,308,2020-09-18 00:00:00
Alleghany,1441,24,71,2020-09-18 00:00:00
Arlington,3819,146,491,2020-09-18 00:00:00
Central Shenandoah,4924,70,256,2020-09-18 00:00:00
Central Virginia,2906,31,104,2020-09-18 00:00:00
Chesapeake,4169,66,382,2020-09-18 00:00:00
Chesterfield,6151,119,343,2020-09-18 00:00:00
Chickahominy,1712,49,157,2020-09-18 00:00:00
Crater,3648,96,270,2020-09-18 00:00:00
Cumberland Plateau,677,9,52,2020-09-18 00:00:00
Eastern Shore,1472,50,138,2020-09-18 00:00:00
Fairfax,20242,587,2146,2020-09-18 00:00:00
Hampton,1761,21,58,2020-09-18 00:00:00
Henrico,5182,206,410,2020-09-18 00:00:00
Lenowisco,850,17,72,2020-09-18 00:00:00
Lord Fairfax,2991,106,262,2020-09-18 00:00:00
Loudoun,6615,122,425,2020-09-18 00:00:00
Mount Rogers,2555,92,220,2020-09-18 00:00:00
New River,2812,13,52,2020-09-18 00:00:00
Norfolk,4721,67,346,2020-09-18 00:00:00
Peninsula,4222,66,184,2020-09-18 00:00:00
Piedmont,1906,43,129,2020-09-18 00:00:00
Pittsylvania-Danville,1750,30,128,2020-09-18 00:00:00
Portsmouth,2500,49,268,2020-09-18 00:00:00
Prince William,14446,228,1077,2020-09-18 00:00:00
Rappahannock,5058,70,380,2020-09-18 00:00:00
Rappahannock Rapidan,2542,46,169,2020-09-18 00:00:00
Richmond,4434,55,406,2020-09-18 00:00:00
Roanoke,1508,16,61,2020-09-18 00:00:00
Southside,1318,42,84,2020-09-18 00:00:00
Thomas Jefferson,3104,65,181,2020-09-18 00:00:00
Three Rivers,1594,29,107,2020-09-18 00:00:00
Virginia Beach,6596,78,354,2020-09-18 00:00:00
Western Tidewater,3482,115,196,2020-09-18 00:00:00
West Piedmont,1923,59,233,2020-09-18 00:00:00
Alexandria,3684,68,310,2020-09-19 00:00:00
Alleghany,1453,25,72,2020-09-19 00:00:00
Arlington,3835,146,491,2020-09-19 00:00:00
Central Shenandoah,4959,70,256,2020-09-19 00:00:00
Central Virginia,2955,33,106,2020-09-19 00:00:00
Chesapeake,4184,67,383,2020-09-19 00:00:00
Chesterfield,6176,119,344,2020-09-19 00:00:00
Chickahominy,1729,50,158,2020-09-19 00:00:00
Crater,3688,96,271,2020-09-19 00:00:00
Cumberland Plateau,692,9,52,2020-09-19 00:00:00
Eastern Shore,1471,50,138,2020-09-19 00:00:00
Fairfax,20357,592,2150,2020-09-19 00:00:00
Hampton,1768,21,59,2020-09-19 00:00:00
Henrico,5224,208,413,2020-09-19 00:00:00
